Date	Price	Open	High	Low	Vol.	Change %
Aug 20, 2014	139.69	139.88	140.06	139.34	293.73K	-0.06%
Aug 19, 2014	139.78	140.06	140.72	139.75	293.18K	-0.27%
Aug 18, 2014	140.16	140.97	141.03	140.00	250.95K	-0.62%
Aug 15, 2014	141.03	140.03	141.66	139.91	512.94K	0.69%
Aug 14, 2014	140.06	139.38	140.12	139.22	431.61K	0.42%
Aug 13, 2014	139.47	138.84	139.56	138.50	354.58K	0.36%
Aug 12, 2014	138.97	139.25	139.50	138.81	302.06K	-0.32%
Aug 11, 2014	139.41	139.28	139.59	139.09	247.26K	0.00%
Aug 08, 2014	139.41	139.38	140.34	139.19	472.69K	0.11%
Aug 07, 2014	139.25	138.56	139.50	138.38	363.73K	0.54%
Aug 06, 2014	138.50	138.25	139.25	138.19	355.55K	0.09%
Aug 05, 2014	138.38	138.22	138.50	137.56	355.82K	0.21%
Aug 04, 2014	138.09	138.06	138.50	137.88	221.93K	0.11%
Aug 01, 2014	137.94	137.31	138.41	136.78	611.94K	0.39%
Jul 31, 2014	137.41	137.44	137.75	136.44	553.60K	-0.07%
Jul 30, 2014	137.50	138.94	139.06	137.38	501.55K	-1.04%
Jul 29, 2014	138.94	138.44	139.09	138.28	309.94K	0.48%
Jul 28, 2014	138.28	138.69	138.78	138.22	257.42K	-0.27%
Jul 25, 2014	138.66	137.97	138.75	137.78	268.05K	0.57%
Jul 24, 2014	137.88	138.47	138.62	137.66	300.87K	-0.49%
Jul 23, 2014	138.56	138.56	138.84	138.38	181.57K	0.00%
Jul 22, 2014	138.56	138.47	138.66	137.97	304.03K	0.09%
Jul 21, 2014	138.44	138.09	138.84	138.03	234.81K	0.28%
Jul 18, 2014	138.06	138.44	138.72	137.72	275.06K	-0.04%
Jul 17, 2014	138.12	137.31	138.66	137.25	412.56K	0.70%
Jul 16, 2014	137.16	136.94	137.34	136.62	216.56K	0.16%
Jul 15, 2014	136.94	136.88	137.34	136.53	391.80K	0.02%
Jul 14, 2014	136.91	137.44	137.50	136.84	161.08K	-0.34%
Jul 11, 2014	137.38	137.03	137.59	136.94	203.91K	0.21%
Jul 10, 2014	137.09	136.75	137.72	136.66	420.13K	0.09%
Jul 09, 2014	136.97	136.69	137.00	136.28	335.24K	0.28%
Jul 08, 2014	136.59	135.75	136.78	135.62	273.51K	0.66%
Jul 07, 2014	135.69	135.19	135.88	134.91	207.67K	0.38%
Jul 04, 2014	135.18	135.11	135.20	135.01	-	0.13%
Jul 03, 2014	135.00	135.31	135.50	134.34	336.68K	-0.18%
